Área,Nome do Documento,Finalidade,Link Atual (Drive),Status,Dono do Processo,Prioridade,,,,,,,,,,,,,,,,,,,
Front,Documento de boas práticas,Documentar todos os processos e particularidades para desenvolver o Frontend dentro do time de Studion.mx,Documentação Técnica - SPA,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
Front,Octopus,Ferramenta e boas práticas,https://octopus.dotgroup.com.br/login,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
Front,FrontHub,"Centralizar a documentaçãode todos processos que o front edtech pode se deparar durante o trabalho. Possui orientações gerais para o desenvolvimento dos projetos, boas práticas para uso com IA, documentação do LEGO e POPs","https://fronthub.hom.dotgroup.com.br/

(Acesso via VPN)",Válido,"Fronts responsáveis pela documentação: Emannuel, Glauber e André",,,,,,,,,,,,,,,,,,,,
CEs,Minuta Manifestação de Interesse DOT,Template de minuta para manifestar interesse em renovação de contratos,Minuta Manifestação de Interesse DOT (1).docx,Válido,Consultor Educacional,,,,,,,,,,,,,,,,,,,,
CEs,20251017_CLIENTE_SOLUÇÃO_KICKOFF,Template de apresentação PPT para agenda de kickoff de novos contratos/clientes,20251017_CLIENTE_SOLUÇÃO_KICKOFF.pptx,Válido,Consultor Educacional,,,,,,,,,,,,,,,,,,,,
CEs,20251017_CLIENTE_SOLUÇÃO_TERMO_DE_ENCERRAMENTO,Template de apresentação PPT referente ao encerramento de contrato,20251017_CLIENTE_SOLUÇÃO_TERMO_DE_ENCERRAMENTO.pptx,Válido,Consultor Educacional,,,,,,,,,,,,,,,,,,,,
DI,Teste técnico DI,Teste técnico aplicado a para vaga de DIs,1_Correcao de prova tecnica,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Guia de entrevista inicial vaga DI,Material para guiar a conversa com candidato a vaga de DI,Guia para entrevistatécnica_DI,Defasado,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Guia de avaliador DI,Material para guiar o DI avaliador do processo seletivo de novos DIs,"Boas-vindas, avaliador!",Defasado,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
Geral & Fluxo,Fábrica de vídeos,Orientações sobre o AV DOT,https://sites.google.com/dotgroup.com.br/fantastica-fabrica-de-videos,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
Terceiros,Casting Freela DOT,Planilha com a disponibilização de diferentes parceiros para atuação no DOT,Casting | Freelas Sob Demanda - DOT,Válido,Compras,,,,,,,,,,,,,,,,,,,,
Terceiros,Disponibilidade RTs parceiros,Planilha com a disponibilidade atualizada dos RTs parceiros,Disponibilidade Fornecedores RT,Válido,RT Camilla Medeiros,,,,,,,,,,,,,,,,,,,,
Geral & Fluxo,Guia de apontamento de horas,Orientações sobre o apontamento integral das horas,DOT-GuiaApontamentos_v3.pdf,Válido,Heads Gestão Ágil,,,,,,,,,,,,,,,,,,,,
PC,Manual de Prompts Produção de Conteúdo DesenEAD,Manual de Prompts Produção de Conteúdo com IA no Gemini,Manual,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Manual de direitos autorais e recursos didáticos,Manual de direitos autorais e recursos didáticos,Direito autoral e recursos didáticos.pdf,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template Checklist SESCOOP NA,Checklists de processos e padrões para entrega de SESCOOP NA,11.Checklists,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template Capacitação Conteúdista,Template padrão para capacitação de conteudista terceiro,10.Template_Capacitacao_Conteudista,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Templaetes Kickoff,Template padrão para reunião de kickoff e modelo de repasse do CE para DEV.,09.Template_Kickoff_Briefing,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template Validações Entregáveis,Template padrão para envio a clientes e para uso interno de validação dos entregáveis,08.Documentos_validacao,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template Repasse Interno,Template padrão de repasse de demandas internas entre os times,07.Repasse_demanda,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Templaetes treinamentos presenciais,Template padrão para criação de documentação para apresentações de treinamentos presenciais,06.Cursos_presenciais,Sem informação,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template Mídias | Videos e Podcasts,Templates padrão para criação vídeos e podcasts,05.Midias,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template E-BOOK,Template padrão para criação de e-books em pdf,04.EB_PDF,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template Roteiro DodcFlex,Template padrão para criação de roteiro dentro do DocFlex,03.Template_EL_Docflex,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template PMV,Template padrão para criação de PMV,02.PMV,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Template Conteúdo Bruto,Template padrão para criação de conteúdo bruto.,01.Conteudo_Bruto,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
DI,Modelo de Pasta Drive,Estrutura de modelos para criação de pastas de novos projetos,00.Modelo_pasta_projeto,Válido,Líder Especialidade,,,,,,,,,,,,,,,,,,,,
Geral & Fluxo,Banco de PMV,Plataforma centralizada de gestão e consulta de PMVs. .,https://banco-pmvs-dot-317500236403.us-west1.run.app/,Válido,Sidnei Barros,,,,,,,,,,,,,,,,,,,,
Geral & Fluxo,Biblioteca Dot,Organizar entregas Dot para acesso de todos,https://lookerstudio.google.com/u/0/reporting/3da7575a-c566-4e2e-abe7-da7a4d96d20b/page/vOGzB?s=lhDfoHd4s60,Defasado,"""sem dono""",,,,,,,,,,,,,,,,,,,,
